Action_Cash,Action_AAPL,Action_V,Action_SNE,Action_ADBE,Action_BABA,State_Cash_close_L1,State_Cash_high_L1,State_Cash_low_L1,State_Cash_open_L1,State_AAPL_close_L1,State_AAPL_high_L1,State_AAPL_low_L1,State_AAPL_open_L1,State_V_close_L1,State_V_high_L1,State_V_low_L1,State_V_open_L1,State_SNE_close_L1,State_SNE_high_L1,State_SNE_low_L1,State_SNE_open_L1,State_ADBE_close_L1,State_ADBE_high_L1,State_ADBE_low_L1,State_ADBE_open_L1,State_BABA_close_L1,State_BABA_high_L1,State_BABA_low_L1,State_BABA_open_L1
0.1667335,0.16665268,0.1666173,0.16660523,0.16657913,0.1668122,1.0,1.0,1.0,1.0,1.18190255,1.18338747,1.15387471,1.18338747,1.16946636,1.18904872,1.16918794,1.18904872,1.16566125,1.17308585,1.15981439,1.17308585,1.17457077,1.17475638,1.15693735,1.17475638,1.17958237,1.18060325,1.1625058,1.18060325
0.16673349,0.16665316,0.16661705,0.16660519,0.16657877,0.16681242,1.0,1.0,1.0,1.0,1.16946636,1.18904872,1.16918794,1.18904872,1.16566125,1.17308585,1.15981439,1.17308585,1.17457077,1.17475638,1.15693735,1.17475638,1.17958237,1.18060325,1.1625058,1.18060325,1.17726218,1.19322506,1.1750348,1.19322506
0.16673285,0.16665329,0.16661708,0.16660501,0.16657914,0.16681267,1.0,1.0,1.0,1.0,1.16566125,1.17308585,1.15981439,1.17308585,1.17457077,1.17475638,1.15693735,1.17475638,1.17958237,1.18060325,1.1625058,1.18060325,1.17726218,1.19322506,1.1750348,1.19322506,1.17215777,1.18134571,1.16853828,1.18134571
0.16673331,0.16665293,0.16661702,0.1666049,0.1665791,0.16681269,1.0,1.0,1.0,1.0,1.17457077,1.17475638,1.15693735,1.17475638,1.17958237,1.18060325,1.1625058,1.18060325,1.17726218,1.19322506,1.1750348,1.19322506,1.17215777,1.18134571,1.16853828,1.18134571,1.17661253,1.17986079,1.16946636,1.17986079
0.1667338,0.1666525,0.16661702,0.16660511,0.16657907,0.16681243,1.0,1.0,1.0,1.0,1.17958237,1.18060325,1.1625058,1.18060325,1.17726218,1.19322506,1.1750348,1.19322506,1.17215777,1.18134571,1.16853828,1.18134571,1.17661253,1.17986079,1.16946636,1.17986079,1.17095128,1.17958237,1.17039443,1.17958237
0.16673373,0.16665274,0.16661695,0.16660559,0.16657925,0.16681181,1.0,1.0,1.0,1.0,1.17726218,1.19322506,1.1750348,1.19322506,1.17215777,1.18134571,1.16853828,1.18134571,1.17661253,1.17986079,1.16946636,1.17986079,1.17095128,1.17958237,1.17039443,1.17958237,1.15777262,1.17067285,1.15508121,1.17067285
0.1667337,0.16665275,0.16661732,0.1666051,0.16657872,0.16681236,1.0,1.0,1.0,1.0,1.17215777,1.18134571,1.16853828,1.18134571,1.17661253,1.17986079,1.16946636,1.17986079,1.17095128,1.17958237,1.17039443,1.17958237,1.15777262,1.17067285,1.15508121,1.17067285,1.18422274,1.18904872,1.16167053,1.18904872
0.16673341,0.1666529,0.16661736,0.16660488,0.1665787,0.1668127,1.0,1.0,1.0,1.0,1.17661253,1.17986079,1.16946636,1.17986079,1.17095128,1.17958237,1.17039443,1.17958237,1.15777262,1.17067285,1.15508121,1.17067285,1.18422274,1.18904872,1.16167053,1.18904872,1.17781903,1.18979118,1.17559165,1.18979118
0.16674101,0.16665284,0.16662967,0.16659923,0.16657473,0.16680251,1.0,1.0,1.0,1.0,1.17095128,1.17958237,1.17039443,1.17958237,1.15777262,1.17067285,1.15508121,1.17067285,1.18422274,1.18904872,1.16167053,1.18904872,1.17781903,1.18979118,1.17559165,1.18979118,1.1936891,1.19600928,1.17234339,1.19600928
0.16673225,0.16666132,0.16663893,0.16660288,0.16657476,0.16678989,1.0,1.0,1.0,1.0,1.15777262,1.17067285,1.15508121,1.17067285,1.18422274,1.18904872,1.16167053,1.18904872,1.17781903,1.18979118,1.17559165,1.18979118,1.1936891,1.19600928,1.17234339,1.19600928,1.20343387,1.21039443,1.18923434,1.21039443
0.1667253,0.16666737,0.16665001,0.1665969,0.16657935,0.16678104,1.0,1.0,1.0,1.0,1.18422274,1.18904872,1.16167053,1.18904872,1.17781903,1.18979118,1.17559165,1.18979118,1.1936891,1.19600928,1.17234339,1.19600928,1.20343387,1.21039443,1.18923434,1.21039443,1.20909513,1.21234339,1.19935035,1.21234339
0.1667235,0.16666947,0.16667013,0.16659324,0.16657263,0.16677108,1.0,1.0,1.0,1.0,1.17781903,1.18979118,1.17559165,1.18979118,1.1936891,1.19600928,1.17234339,1.19600928,1.20343387,1.21039443,1.18923434,1.21039443,1.20909513,1.21234339,1.19935035,1.21234339,1.23109049,1.23554524,1.21716937,1.23554524
0.16671987,0.16667286,0.16669111,0.16658555,0.16656487,0.16676578,1.0,1.0,1.0,1.0,1.1936891,1.19600928,1.17234339,1.19600928,1.20343387,1.21039443,1.18923434,1.21039443,1.20909513,1.21234339,1.19935035,1.21234339,1.23109049,1.23554524,1.21716937,1.23554524,1.21169374,1.24863109,1.2025058,1.24863109
0.16671422,0.16668177,0.16671234,0.16657914,0.16655655,0.16675593,1.0,1.0,1.0,1.0,1.20343387,1.21039443,1.18923434,1.21039443,1.20909513,1.21234339,1.19935035,1.21234339,1.23109049,1.23554524,1.21716937,1.23554524,1.21169374,1.24863109,1.2025058,1.24863109,1.19387471,1.2212529,1.19071926,1.2212529
